"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1255","verifyProductDisplayedInCorrectOrderPriceLowToHigh","All Test Suite","Tue Feb 11 23:00:00 BDT 2025","passed","Tue Feb 11 23:00:01 BDT 2025","TestCases.TestSortingProductPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestSortingProductPage","verifyProductDisplayedInCorrectOrderPriceLowToHigh"
"","1368","TestProductVisibleOnCartBadge","All Test Suite","Tue Feb 11 22:59:43 BDT 2025","passed","Tue Feb 11 22:59:45 BDT 2025","TestCases.TestAddToCartPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestAddToCartPage","TestProductVisibleOnCartBadge"
"","1691","FinishOrderAndVerifyConfirmMassage","All Test Suite","Tue Feb 11 23:00:36 BDT 2025","passed","Tue Feb 11 23:00:37 BDT 2025","TestCases.TestCheckOutPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestCheckOutPage","FinishOrderAndVerifyConfirmMassage"
"","32018","removeAndAddProductFromCartBadge","All Test Suite","Tue Feb 11 23:00:03 BDT 2025","passed","Tue Feb 11 23:00:35 BDT 2025","TestCases.TestAddToCartPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestAddToCartPage","removeAndAddProductFromCartBadge"
"","1200","verifyProductDisplayedInCorrectOrderPriceHighToLow","All Test Suite","Tue Feb 11 23:00:43 BDT 2025","passed","Tue Feb 11 23:00:44 BDT 2025","TestCases.TestSortingProductPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestSortingProductPage","verifyProductDisplayedInCorrectOrderPriceHighToLow"
"Login With ValidCredentials","1117","LoginWithValidCredentials","All Test Suite","Tue Feb 11 22:59:58 BDT 2025","passed","Tue Feb 11 22:59:59 BDT 2025","TestCases.TestLoginPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestLoginPage","LoginWithValidCredentials"
"Login With InValidCredentials","1121","LoginWithInValidCredentials","All Test Suite","Tue Feb 11 23:00:41 BDT 2025","passed","Tue Feb 11 23:00:42 BDT 2025","TestCases.TestLoginPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestLoginPage","LoginWithInValidCredentials"
"","1100","VerifyLockedOutUserInLogin","All Test Suite","Tue Feb 11 22:59:53 BDT 2025","passed","Tue Feb 11 22:59:54 BDT 2025","TestCases.TestLockedOutUserPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestLockedOutUserPage","VerifyLockedOutUserInLogin"
"","1053","TestPageUrl","All Test Suite","Tue Feb 11 23:00:38 BDT 2025","passed","Tue Feb 11 23:00:39 BDT 2025","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageUrl"
"","1210","verifyProductDisplayedInCorrectOrderNameAToZ","All Test Suite","Tue Feb 11 23:00:45 BDT 2025","passed","Tue Feb 11 23:00:46 BDT 2025","TestCases.TestSortingProductPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestSortingProductPage","verifyProductDisplayedInCorrectOrderNameAToZ"
"","1257","verifyProductDisplayedInCorrectOrderNameZToA","All Test Suite","Tue Feb 11 23:00:47 BDT 2025","passed","Tue Feb 11 23:00:49 BDT 2025","TestCases.TestSortingProductPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestSortingProductPage","verifyProductDisplayedInCorrectOrderNameZToA"
"","1462","ValidateCartCountBadge","All Test Suite","Tue Feb 11 22:59:46 BDT 2025","passed","Tue Feb 11 22:59:47 BDT 2025","TestCases.TestCartBadgeCountValidationPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestCartBadgeCountValidationPage","ValidateCartCountBadge"
"","1250","LogOutAndVerify","All Test Suite","Tue Feb 11 22:59:56 BDT 2025","passed","Tue Feb 11 22:59:57 BDT 2025","TestCases.TestLogOutPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestLogOutPage","LogOutAndVerify"
"","1647","AutomateCheckOutAndVerify","All Test Suite","Tue Feb 11 22:59:48 BDT 2025","passed","Tue Feb 11 22:59:50 BDT 2025","TestCases.TestCheckOutPage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestCheckOutPage","AutomateCheckOutAndVerify"
"","1054","TestPageTitle","All Test Suite","Tue Feb 11 22:59:51 BDT 2025","passed","Tue Feb 11 22:59:52 BDT 2025","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/SauceDemoAutomationPOM/SauceDemoAutomationPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageTitle"
